Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,,,,,,
NA,$130.51 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“PC PORTATILI RICONDIZIONATI IN OTTIME CONDIZIONI, CONTATTACI PER MAGGIORI INFO 3662929214”",NA,NA,NA,NA,NA,NA,Intel HD Graphics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$598.21 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
HP,$303.70 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,AMD Ryzen 5,15.6 in,NA,NA,NA,NA,NA,NA,Notebook/Laptop,NA,NA,NA,NA,Touchscreen,3500.16 GB,NA,NA,,,NA,NA,NA,NA
Chuwi,$399.99 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,INTEL Core i7-7Y75,13 in,NA,Gray,8 GB,256 GB,Intel UHD Graphics 600,up to 3.6Ghz,Notebook/Laptop,2023,2160 x 1440,CHUWI UBOOK XPRO,Windows 11 Home,"Backlit Keyboard, Built-in Microphone, Built-in Webcam",256 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
NA,$309.98 to $386.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$119.63 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,Intel HD Graphics 3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Panasonic,$129.95 to $149.95,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Good condition with only minor wear and tear”,Intel Core i5-6300U,10.1 in,NA,Silver,4 GB,128 GB,NA,2.40 GHz,NA,NA,1920 x 1080,PANASONIC TOUGHPAD FZ-G1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Toshiba,$160.30 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Lightly used laptop. The laptop has been set back to factory settings. Battery holds a good charge. ...  Read moreabout the seller notes“Lightly used laptop. The laptop has been set back to factory settings. Battery holds a good charge. Comes with power adapter.” Read Lessabout the seller notes ,Intel Core i5 8th Gen.,14 in,NA,NA,8 GB,256 GB,NA,NA,Notebook/Laptop,NA,NA,Toshiba Tecra,Windows 11 Pro,Touchscreen,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
HP,$129.99 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Pentium N4200,11.6 in,NA,Gray,4 GB,128 GB,Intel HD Graphics 505,1.10 GHz,Notebook/Laptop,2016,1366 x 768,HP ProBook,Windows 10 Pro,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, touc",128 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Fujitsu,$170.90 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Products are tested, and confirmed to be 100% fully functional. These devices may show cosmetic ...  Read moreabout the seller notes“Products are tested, and confirmed to be 100% fully functional. These devices may show cosmetic signs of previous use such as marks on the screen, dints, slightly worn keys or touchpad and heavy scratches. The device may have BIOS Lock or have under 80% original battery. This does not affect the usability and performance of the device. Includes 12-month warranty.” Read Lessabout the seller notes ",Intel Core i5 8th Gen.,12.5 in,NA,NA,16 GB,512 GB,NA,1.60 GHz,Notebook/Laptop,NA,NA,Fujitsu LifeBook U729,Windows 11,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Fujitsu Siemens,$94.91 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“““GOOD CONDITION - Working Perfectly Fine, Tested By Engineers.Please Note: As the item is ...  Read moreabout the seller notes“““GOOD CONDITION - Working Perfectly Fine, Tested By Engineers.Please Note: As the item is refurbished it may show some signs of cosmetic wear however this will not affect the use of the item in any way””” Read Lessabout the seller notes ",Intel Core i3 6th Gen.,15.6 in,NA,NA,8gig,500 GB,NA,NA,Notebook/Laptop,NA,NA,NA,Windows 11 Home,NA,500 GB,NA,NA,,,NA,NA,NA,NA
Fujitsu Siemens,$56.94 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“In good condition.”,Intel Celeron,15 in,NA,NA,2 GB,NA,NA,1.73 GHz,Notebook/Laptop,NA,1280 x 800,Fujitsu,Windows 10,NA,250 GB,NA,HDD (Hard Disk Drive),,,NA,NA,NA,NA
Dell,$599.00 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Intel Core i7 11th Gen.,14 in,NA,NA,16 GB,256 GB,Intel Iris Xe Graphics,3.00 GHz,Notebook/Laptop,2022,1920 x 1080,Dell Latitude 7420,Windows 10 Pro,"Built-in Microphone,  Built-in Webcam",16 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$79.99 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Body Excellent, PLEASE READ DESCRIPTION BEFORE PURCHASING!”",Intel Celeron N,11.6 in,NA,Black,4 GB,64 GB,Intel HD Graphics,1.1 GHz,Subnotebook/Ultraportable,NA,1366 x 768,Lenovo 300e Winbook,Windows 10,Touchscreen,64 GB,NA,eMMC,,,NA,NA,NA,NA
HP,"$1,200.00 ",NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i7 9th Gen.,15.6 in,NA,Black,64 GB,2 TB,NVIDIA GeForce RTX 2070,4.70 GHz,Notebook/Laptop,2019,3840 x 2160,HP Omen,Windows 11 Home,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",4 TB,NA,HDD + SSD,,,NA,NA,NA,NA
Samsung,$349.99 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 10th Gen.,13.3 in,NA,Red,8 GB,256 GB,Intel UHD Graphics,1.60 GHz,Notebook/Laptop,2022,3840 x 2160,Samsung Galaxy Chromebook 4k,Chrome OS,"Bluetooth, Stylus, Touchscreen, Wi-Fi",256 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$339.00 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Intel Core i3 12th Gen.,15.6 in,NA,Carbon Black,8 GB,512 GB,NA,NA,Notebook/Laptop,NA,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,NA,512 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Microsoft,$174.99 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 10th Gen.,13.5 in,NA,Silver,8 GB,128 GB,Intel Iris Xe Graphics,1.20 GHz,Notebook/Laptop,NA,2256 x 1504,Microsoft Surface Laptop,NA,"Touchscreen,  Eye Tracking,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Multi-Touch Trackpad,  Convertible 2-in-1 Laptop/Tablet,  Backlit Keyboard,  Built-in Microphone",128 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$875.00 ,NA,NA,NA,NA,Intel Core i7 12th Gen.,13.4 in,Sky,Blue,32 GB,1 TB,Intel Iris Xe Graphics,1.70 GHz,Notebook/Laptop,2022,1920 x 1200,Dell XPS 13,Windows 11 Home,Touch ID,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$359.95 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Scuffs And Scratches But Is Fully Functional! / Upgraded To The New 512GB M.2 SSD Storage & 16GB ...  Read moreabout the seller notes“Scuffs And Scratches But Is Fully Functional! / Upgraded To The New 512GB M.2 SSD Storage & 16GB DDR4 RAM Memory / Windows 10 Professional Operating System Reinstalled And Is Like New OS State Ready For New Owner. Works Great! / Includes Original Power Adapter (Charger) Only! / Does Not Come With Original Box, User Guide, Stylus (Pen), Or Any Other Cables Or Accessories! / Unit Was Tested By Certified Technician, Cleaned, Sanitized And Repackaged By Professional Warehouse Staff!” Read Lessabout the seller notes ",Intel Core i5-6300U,14 in,NA,Black,16 GB,512 GB,Intel HD Graphics 520,2.40 GHz,Notebook/Laptop,NA,1366 x 768,Dell Latitude 7414 Rugged Extreme,Windows 10 Pro,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Optical Drive,  Rugged,  Touchscreen,  Wi-Fi,  512GB SSD Storage,  Windows 10 Professional",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
